['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:32:16, 316, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 12']
['20:32:24, 320, opp/conj: 3', 'sqr/tri/sext: 10', 'major: 13', 'minor: 12']
['20:32:32, 256, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 11']
['20:32:40, 313, opp/conj: 3', 'sqr/tri/sext: 12', 'major: 15', 'minor: 10']
['20:32:48, 323, opp/conj: 3', 'sqr/tri/sext: 12', 'major: 15', 'minor: 10']
['20:32:56, 279, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 6']
['20:33:04, 299, opp/conj: 5', 'sqr/tri/sext: 10', 'major: 15', 'minor: 6']
['20:33:12, 295, opp/conj: 5', 'sqr/tri/sext: 10', 'major: 15', 'minor: 6']
['20:33:20, 243, opp/conj: 5', 'sqr/tri/sext: 8', 'major: 13', 'minor: 4']
['20:33:28, 187, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 4']
['20:33:36, 177, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 4']
['20:33:44, 197, opp/conj: 4', 'sqr/tri/sext: 5', 'major: 9', 'minor: 4']
['20:33:52, 191, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 6']
['20:34:00, 223, opp/conj: 5', 'sqr/tri/sext: 5', 'major: 10', 'minor: 5']
['20:34:08, 295, opp/conj: 5', 'sqr/tri/sext: 9', 'major: 14', 'minor: 5']
['20:34:16, 291, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 8']
['20:34:24, 289, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 9']
['20:34:31, 290, opp/conj: 1', 'sqr/tri/sext: 11', 'major: 12', 'minor: 10']
['20:34:39, 306, opp/conj: 1', 'sqr/tri/sext: 12', 'major: 13', 'minor: 11']
['20:34:47, 240, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 12']
['20:34:56, 240, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 15']
['20:35:04, 240, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 15']
['20:35:12, 230, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 16']
['20:35:20, 227, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 17']
['20:35:28, 173, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 9']
['20:35:36, 187, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 11']
['20:35:44, 175, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 12']
['20:35:52, 165, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 11']
['20:36:00, 185, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 13']
['20:36:08, 185, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 14']
['20:36:15, 210, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 10']
